Name,ID,NewID
Alameda,6001,10
Alpine,6003,11
Amador,6005,11
Butte,6007,6
Calaveras,6009,11
Colusa,6011,6
Contra Costa,6013,10
Del Norte,6015,1
El Dorado,6017,8
Fresno,6019,15
Glenn,6021,6
Humboldt,6023,2
Imperial,6025,19
Inyo,6027,16
Kern,6029,17
Kings,6031,15
Lake,6033,5
Lassen,6035,4
Los Angeles,6037,18
Madera,6039,12
Marin,6041,9
Mariposa,6043,12
Mendocino,6045,5
Merced,6047,12
Modoc,6049,1
Mono,6051,16
Monterey,6053,13
Napa,6055,9
Nevada,6057,7
Orange,6059,18
Placer,6061,7
Plumas,6063,4
Riverside,6065,20
Sacramento,6067,8
San Benito,6069,13
San Bernardino,6071,21
San Diego,6073,19
San Francisco,6075,10
San Joaquin,6077,11
San Luis Obispo,6079,14
San Mateo,6081,10
Santa Barbara,6083,14
Santa Clara,6085,10
Santa Cruz,6087,10
Shasta,6089,3
Sierra Valley,6091,7
Siskiyou,6093,1
Solano,6095,8
Sonoma,6097,9
Stanislaus,6099,11
Sutter,6101,8
Tehama,6103,3
Trinity,6105,2
Tulare,6107,15
Tuolumne,6109,11
Ventura,6111,18
Yolo,6113,8
Yuba,6115,7
