Name,StateLabelXID,StateLabelYID,ID,Color,Legend,Description,IsAutoName
Water: All,Water,All,11,"255,84,117,168",,,
Snow/Ice: All,Snow/Ice,All,12,"255,250,250,250",,,
Developed: Open Space,Developed,Open Space,21,"255,232,209,209",,,
Developed: Low Intensity,Developed,Low Intensity,22,"255,226,158,140",,,
Developed: Medium Intensity,Developed,Medium Intensity,23,"255,255,0,0",,,
Developed: High Intensity,Developed,High Intensity,24,"255,181,0,0",,,
Developed: Transportation,Developed,Transportation,25,"255,103,0,0",,,
Barren: All,Barren,All,31,"255,210,205,192",,,
Shrubland: Low Sagebrush,Shrubland,Low Sagebrush,50,"255,220,202,143",,,
Shrubland: Desert Scrub,Shrubland,Desert Scrub,51,"255,220,202,143",,,
Shrubland: Salt Desert Scrub,Shrubland,Salt Desert Scrub,52,"255,220,202,143",,,
Shrubland: Creosotebush,Shrubland,Creosotebush,53,"255,220,202,143",,,
Shrubland: Succulent,Shrubland,Succulent,54,"255,220,202,143",,,
Shrubland: Blackbrush,Shrubland,Blackbrush,55,"255,220,202,143",,,
Shrubland: Big Sagebrush,Shrubland,Big Sagebrush,56,"255,220,202,143",,,
Shrubland: Deciduous Shrub,Shrubland,Deciduous Shrub,57,"255,220,202,143",,,
Shrubland: Pacific Coastal Shrub,Shrubland,Pacific Coastal Shrub,58,"255,220,202,143",,,
Shrubland: Sand Shrubland,Shrubland,Sand Shrubland,59,"255,220,202,143",,,
Shrubland: Mesquite,Shrubland,Mesquite,60,"255,220,202,143",,,
Shrubland: Chaparral,Shrubland,Chaparral,61,"255,220,202,143",,,
Shrubland: Grassland and Steppe,Shrubland,Grassland and Steppe,62,"255,220,202,143",,,
Shrubland: Greasewood,Shrubland,Greasewood,63,"255,220,202,143",,,
Shrubland: Pocosin,Shrubland,Pocosin,64,"255,220,202,143",,,
Shrubland: Pinyon Juniper Shrubland,Shrubland,Pinyon Juniper Shrubland,65,"255,220,202,143",,,
Grassland: All,Grassland,All,71,"255,253,233,170",,,
Agriculture: Pasture,Agriculture,Pasture,81,"255,251,246,93",,,
Agriculture: Cropland,Agriculture,Cropland,82,"255,202,145,70",,,
Agriculture: Orchard,Agriculture,Orchard,83,"255,152,105,44",,,
Agriculture: Vineyard,Agriculture,Vineyard,84,"255,112,78,33",,,
Wetland: Woody,Wetland,Woody,90,"255,200,230,248",,,
Wetland: Herbaceous,Wetland,Herbaceous,95,"255,100,179,213",,,
Forest: White/Red/Jack Pine Group,Forest,White/Red/Jack Pine Group,100,"255,177,222,211",,,
Forest: Spruce/Fir Group,Forest,Spruce/Fir Group,120,"255,255,244,80",,,
Forest: Longleaf/Slash Pine Group,Forest,Longleaf/Slash Pine Group,140,"255,250,168,95",,,
Forest: Loblolly/Shortleaf Pine Group,Forest,Loblolly/Shortleaf Pine Group,160,"255,254,208,149",,,
Forest: Pinyon/Juniper Group,Forest,Pinyon/Juniper Group,180,"255,231,217,147",,,
Forest: Douglas-fir Group,Forest,Douglas-fir Group,200,"255,204,231,211",,,
Forest: Ponderosa Pine Group,Forest,Ponderosa Pine Group,220,"255,163,191,115",,,
Forest: Western White Pine Group,Forest,Western White Pine Group,240,"255,43,147,209",,,
Forest: Fir/Spruce/Mountain Hemlock Group,Forest,Fir/Spruce/Mountain Hemlock Group,260,"255,255,204,78",,,
Forest: Lodgepole Pine Group,Forest,Lodgepole Pine Group,280,"255,185,136,96",,,
Forest: Hemlock/Sitka Spruce Group,Forest,Hemlock/Sitka Spruce Group,300,"255,106,193,123",,,
Forest: Western Larch Group,Forest,Western Larch Group,320,"225,221,89,73",,,
Forest: Redwood Group,Forest,Redwood Group,340,"255,61,154,80",,,
Forest: Other Western Softwood Group,Forest,Other Western Softwood Group,360,"255,92,129,56",,,
Forest: California Mixed Conifer Group,Forest,California Mixed Conifer Group,370,"255,56,129,78",,,
Forest: Exotic Softwoods Group,Forest,Exotic Softwoods Group,380,"255,109,192,0",,,
Forest: Oak/Pine Group,Forest,Oak/Pine Group,400,"255,99,175,94",,,
Forest: Oak/Hickory Group,Forest,Oak/Hickory Group,500,"255,198,222,137",,,
Forest: Oak/Gum/Cypress Group,Forest,Oak/Gum/Cypress Group,600,"255,107,167,174",,,
Forest: Elm/Ash/Cottonwood Group,Forest,Elm/Ash/Cottonwood Group,700,"255,176,88,64",,,
Forest: Maple/Beech/Birch Group,Forest,Maple/Beech/Birch Group,800,"255,150,181,131",,,
Forest: Aspen/Birch Group,Forest,Aspen/Birch Group,900,"255,158,118,180",,,
Forest: Alder/Maple Group,Forest,Alder/Maple Group,910,"255,202,82,163",,,
Forest: Western Oak Group,Forest,Western Oak Group,920,"255,202,142,163",,,
Forest: Tanoak/Laurel Group,Forest,Tanoak/Laurel Group,940,"255,160,82,133",,,
Forest: Other Western Hardwoods Group,Forest,Other Western Hardwoods Group,950,"255,202,142,163",,,
Forest: Tropical Hardwoods Group,Forest,Tropical Hardwoods Group,980,"255,0,83,89",,,
Forest: Exotic Hardwoods Group,Forest,Exotic Hardwoods Group,990,"255,213,83,89",,,
Shrubland: Post Fire Shrub,Shrubland,Post Fire Shrub,1000,"255,255,0,128",,,
Grassland: Post Fire Grass,Grassland,Post Fire Grass,1001,"255,128,0,255",,,
