StockTypeID,StockGroupID,Value
Biomass: Foliage,Biomass: Aboveground,
Biomass: Merchantable,Biomass: Aboveground,
Biomass: Other Wood,Biomass: Aboveground,
Biomass: Coarse Root,Biomass: Belowground,
Biomass: Fine Root,Biomass: Belowground,
Biomass: Coarse Root,Biomass: Total,
Biomass: Fine Root,Biomass: Total,
Biomass: Foliage,Biomass: Total,
Biomass: Merchantable,Biomass: Total,
Biomass: Other Wood,Biomass: Total,
DOM: Snag Branch,DOM: Aboveground,
DOM: Snag Stem,DOM: Aboveground,
DOM: Aboveground Fast,DOM: Belowground,
DOM: Aboveground Medium,DOM: Belowground,
DOM: Aboveground Slow,DOM: Belowground,
DOM: Aboveground Very Fast,DOM: Belowground,
DOM: Belowground Fast,DOM: Belowground,
DOM: Belowground Slow,DOM: Belowground,
DOM: Belowground Very Fast,DOM: Belowground,
DOM: Aboveground Fast,DOM: Total,
DOM: Aboveground Medium,DOM: Total,
DOM: Aboveground Slow,DOM: Total,
DOM: Aboveground Very Fast,DOM: Total,
DOM: Belowground Fast,DOM: Total,
DOM: Belowground Slow,DOM: Total,
DOM: Belowground Very Fast,DOM: Total,
DOM: Snag Branch,DOM: Total,
DOM: Snag Stem,DOM: Total,
Biomass: Coarse Root,Total Ecosystem,
Biomass: Fine Root,Total Ecosystem,
Biomass: Foliage,Total Ecosystem,
Biomass: Merchantable,Total Ecosystem,
Biomass: Other Wood,Total Ecosystem,
DOM: Aboveground Fast,Total Ecosystem,
DOM: Aboveground Medium,Total Ecosystem,
DOM: Aboveground Slow,Total Ecosystem,
DOM: Aboveground Very Fast,Total Ecosystem,
DOM: Belowground Fast,Total Ecosystem,
DOM: Belowground Slow,Total Ecosystem,
DOM: Belowground Very Fast,Total Ecosystem,
DOM: Snag Branch,Total Ecosystem,
DOM: Snag Stem,Total Ecosystem,
